4kLUm6dYdq,BELASTUNG STUFEI,Productivity_Change,Gender,neighborhood,Number_of_Virtual_Meetings,Work_Location,Hours_Worked_Per_Week,Company_Support_for_Remote_Work,Age,Work_Life_Balance_Rating,Zugang zu Ressourcen für psychische Gesundheit
Retail,Low,Decrease,Prefer not to say,Oceania,4,Onsite,56,4,52,3,atomic number 102
Healthcare,High,No Change,Non-binary,Europe,2,Onsite,48,4,52,1,Yes
Finance,High,No Change,Prefer not to say,Oceania,4,Onsite,52,5,37,2,Yes
Retail,Medium,No Change,Non-binary,Europe,9,Hybrid,49,2,57,3,Y.
Healthcare,Low,Increase,Non-binary,Africa,14,Remote,26,2,51,4,wCpF_Yes
Retail,High,Increase,Prefer not to say,Africa,15,Remote,21,4,45,4,Yes
Retail,Medium,Increase,Prefer not to say,Oceania,10,Onsite,20,3,53,5,K_Yes
IT,Medium,No Change,Male,Oceania,3,Onsite,27,9,26,3,No
Education,Low,Increase,Prefer not to say,Europe,1,Hybrid,54,2,52,4,Yes
Healthcare,Medium,Increase,Non-binary,North America,9,Hybrid,98,3,39,5,No
Manufacturing,High,Increase,Female,Oceania,9,Remote,85,2,47,3,No
Healthcare,Low,Decrease,Prefer not to say,Asia,1,Hybrid,57,1,32,1,Yes
lhEL_Healthcare,Medium,No Change,Male,Africa,2,Onsite,98,3,29,5,Yes
Retail,Low,Increase,Male,Africa,12,Remote,20,5,40,1,No
Finance,Medium,No Change,Male,Europe,3,Onsite,35,2,44,2,No
Finance,High,Decrease,Female,Oceania,8,Hybrid,57,7,53,2,Yes
Consulting,Medium,No Change,Male,Oceania,10,Onsite,50,7,23,4,Yes
Manufacturing,Medium,Increase,Non-binary,South America,13,Remote,24,1,36,4,Yes
Retail,Medium,Increase,Male,Africa,14,Remote,25,5,39,5,No
IT,Low,No Change,Male,Asia,0,Hybrid,79,3,59,5,No
Healthcare,low-toned,Increase,Male,South America,1,Onsite,37,3,37,2,Yes
IT,Medium,Decrease,Non-binary,Asia,1,Onsite,51,5,30,3,Yes
Consulting,High,No Change,Male,Oceania,10,Hybrid,47,2,24,2,Yes
Finance,High,No Change,Prefer not to say,North America,10,Remote,28,8,47,3,Yes
OwBo_Finance,High,Increase,Non-binary,South America,3,Onsite,33,3,59,3,No
Education,High,Increase,Non-binary,Asia,9,Onsite,31,3,37,3,Yes
IT,High,Increase,Non-binary,Oceania,2,Remote,32,4,57,4,Yes
Healthcare,Medium,Decrease,Male,Europe,10,ASc_Hybrid,38,3,30,3,Yes
IT,High,Increase,Non-binary,South America,4,Onsite,49,2,39,1,No
Education,High,No Change,Male,North America,6,Remote,59,2,34,4,No
Healthcare,High,Decrease,Male,North America,10,Hybrid,46,1,48,3,No
Finance,High,Increase,Female,Asia,8,Hybrid,31,4,58,4,No
Retail,Medium,Decrease,Female,Oceania,8,Remote,22,1,46,4,No
manufacture,High,Increase,Male,Asia,1,Onsite,77,3,28,1,No
Healthcare,High,No Change,Male,North America,9,Hybrid,47,3,23,4,Yes
Healthcare,Low,Decrease,Prefer not to say,Asia,2,Hybrid,44,8,54,1,Yes
Consulting,TA_Medium,Decrease,Male,Africa,2,Remote,50,3,43,5,No
Retail,Low,No Change,Male,Europe,7,Onsite,55,2,41,1,Yes
Finance,Medium,No Change,Male,South America,2,Hybrid,54,1,43,5,lMOa_No
Education,Medium,No Change,Female,Africa,13,Remote,27,5,36,5,Yes
Finance,Low,Increase,Female,Africa,12,Remote,45,2,58,2,No
IT,Low,Decrease,Non-binary,North America,8,Onsite,48,2,23,2,Yes
Finance,Low,Decrease,Male,Oceania,9,Remote,58,4,38,5,Yes
Q0I_Consulting,Low,Decrease,Non-binary,South America,3,Onsite,20,9,35,4,Yes
Retail,Low,Decrease,Non-binary,Oceania,15,Hybrid,49,5,51,1,No
Consulting,High,Decrease,Female,North America,12,Onsite,36,3,28,5,Yes
Education,High,No Change,Male,North America,5,Onsite,33,2,42,5,No
Consulting,Low,Decrease,Prefer not to say,Asia,2,Onsite,94,1,56,1,Yes
IT,Medium,Increase,Male,Asia,12,Remote,20,2,49,3,Yes
Retail,High,Decrease,Prefer not to say,Oceania,12,Onsite,28,5,45,4,Yes
Healthcare,Low,No Change,Female,Africa,11,Hybrid,28,2,37,5,No
Retail,High,Decrease,Non-binary,South America,1,Hybrid,31,2,23,1,No
Education,Low,No Change,Male,Oceania,11,Hybrid,45,2,37,3,Yes
3YAj_Finance,High,Increase,Female,Asia,11,Hybrid,34,2,59,5,Yes
Finance,Medium,Increase,Non-binary,Asia,15,Onsite,31,1,50,3,Yes
Manufacturing,Medium,Increase,Prefer not to say,Africa,10,Onsite,55,1,46,1,Yes
Finance,Medium,No Change,Female,Asia,12,Onsite,35,4,54,4,No
Education,High,Decrease,Male,Oceania,11,Hybrid,24,2,38,5,No
Finance,High,Increase,Female,South America,3,Onsite,60,5,55,3,No
W_IT,Medium,No Change,Prefer not to say,South America,4,Remote,20,2,49,3,Yes
Education,High,No Change,Non-binary,North America,9,Hybrid,28,3,41,4,Yes
Retail,Medium,Decrease,Male,South America,8,Hybrid,93,4,22,2,Yes
IT,culture medium,Decrease,Prefer not to say,Asia,15,Hybrid,27,5,52,1,No
Manufacturing,low-toned,Decrease,Non-binary,North America,1,Onsite,32,9,28,1,No
Retail,Medium,Decrease,Non-binary,Asia,10,Hybrid,20,4,50,1,No
Finance,High,No Change,Non-binary,South America,2,Remote,43,1,35,3,No
Education,Low,No Change,Male,Africa,7,Remote,49,1,33,4,No
Manufacturing,High,Increase,Male,North America,9,intercrossed,48,3,47,3,Yes
Retail,Low,Decrease,Prefer not to say,Asia,6,Hybrid,28,5,51,2,Yes
Education,Medium,Increase,Non-binary,North America,6,Hybrid,25,1,57,4,No
Education,Low,No Change,Female,North America,1,Onsite,40,5,59,3,Yes
Education,High,No Change,Female,Oceania,11,Hybrid,79,1,25,5,No
Finance,Low,Decrease,Male,Asia,10,remote control,22,4,42,3,No
Retail,Medium,Increase,Female,South America,10,Hybrid,28,3,34,1,No
Manufacturing,Low,Increase,Non-binary,North America,0,Onsite,49,3,33,1,Yes
Finance,Medium,No Change,Male,South America,12,Hybrid,92,4,23,2,No
Education,High,Increase,Male,Europe,12,Remote,57,2,23,5,No
IT,Low,Increase,Prefer not to say,Africa,5,Remote,21,8,54,4,Yes
IT,High,No Change,Non-binary,Africa,6,Remote,52,4,34,3,No
Retail,High,No Change,Male,gsb_Europe,9,remote control,40,5,54,1,No
e_IT,High,Decrease,Prefer not to say,Oceania,15,Onsite,46,3,43,1,No
Consulting,High,No Change,Non-binary,Asia,8,Onsite,91,4,53,2,TO_Yes
Consulting,Medium,Decrease,Male,Asia,12,Hybrid,47,5,59,2,Yes
Consulting,Medium,Increase,Non-binary,Africa,0,Hybrid,48,2,33,4,No
IT,Low,No Change,Female,Oceania,0,Hybrid,51,5,58,2,No
Manufacturing,culture medium,Decrease,Prefer not to say,Oceania,4,Hybrid,80,5,36,3,Yes
Healthcare,L.,Increase,Non-binary,North America,6,Onsite,60,10,27,2,Yes
Finance,low-toned,No Change,Non-binary,Oceania,11,Onsite,98,9,32,3,Yes
Manufacturing,Medium,Increase,Non-binary,Oceania,8,Remote,51,4,40,4,Yes
Education,High,No Change,Non-binary,Oceania,9,Onsite,29,5,59,1,Yes
Finance,Medi.,No Change,Male,North America,7,Onsite,39,5,55,4,Yes
Consulting,High,No Change,Non-binary,Oceania,11,Remote,53,4,24,2,No
Manufacturing,Low,Increase,Male,South America,12,Onsite,27,3,50,4,No.
Retail,High,No Change,Non-binary,Oceania,2,Remote,46,2,49,5,No
Manufacturing,Low,Decrease,Prefer not to say,North America,5,Hybrid,42,1,46,1,No
Consulting,Low,No Change,Prefer not to say,Europe,6,Hybrid,51,5,27,1,Yes
Manufacturing,Medium,No Change,Male,N.Am.,3,Onsite,22,1,47,2,No
Retail,High,No Change,Male,aR_North America,13,Onsite,77,5,47,3,No
Consulting,High,No Change,Prefer not to say,South America,6,Hybrid,35,4,41,1,Y.
Finance,High,Decrease,Male,Asia,9,Onsite,83,8,30,3,No
Retail,High,No Change,Male,South America,15,Remote,45,2,27,4,Yes
Healthcare,Medium,No Change,Female,N.Amer.,3,Hybrid,37,1,48,1,No
Education,Medium,Decrease,Female,Europe,6,Remote,41,3,28,1,No
IT,Medium,No Change,Male,Africa,13,Hybrid,52,1,25,2,No
Education,Low,No Change,Prefer not to say,South America,4,Remote,54,3,31,5,No
Healthcare,Low,Decrease,Female,Oceania,15,Remote,52,2,30,5,Yes
Education,High,Decrease,Non-binary,Africa,8,Remote,32,4,30,3,No
Education,High,Increase,Male,Europe,13,Onsite,44,8,55,1,No
Retail,Medium,No Change,Male,Asia,12,Onsite,57,2,43,4,No
Consulting,High,Decrease,Male,oceanica,10,Onsite,43,3,44,2,Yes
Retail,High,Increase,Non-binary,North America,13,Hybrid,54,5,54,5,Yes
IT,High,Increase,Prefer not to say,Africa,2,Hybrid,43,2,53,4,No
Healthcare,High,Increase,Non-binary,Asia,6,Onsite,81,2,53,3,Yes
Manufacturing,High,Increase,Male,Europe,8,Remote,58,3,23,4,Yes
Education,Medium,No Change,Male,Europe,1,Hybrid,45,1,50,1,No
education department,Low,No Change,Female,Oceania,14,Onsite,49,2,42,2,Y.
Consulting,Medium,Increase,Non-binary,Africa,6,Remote,26,5,47,2,Yes
Retail,High,Increase,Prefer not to say,Afr.,3,Onsite,39,1,37,5,atomic number 102
IT,Low,No Change,Non-binary,Africa,4,Hybrid,28,1,40,2,Yes
Retail,Medium,No Change,Prefer not to say,Asia,2,Remote,53,8,43,2,Ye.
manufacture,Low,Increase,Non-binary,Oceania,5,Hybrid,22,8,33,3,Yes
Education,High,No Change,Prefer not to say,South America,14,Onsite,57,2,53,3,Yes
Healthcare,culture medium,No Change,Male,North America,8,Hybrid,57,3,39,3,No
IT,Low,Decrease,Non-binary,A.,0,Onsite,59,5,44,2,Yes
IT,Low,Decrease,Female,Europe,3,Hybrid,96,1,41,4,4rPw_No
Manufacturing,High,No Change,Female,South America,3,Hybrid,54,2,49,1,Yes
Healthcare,Low,Increase,Non-binary,Oceania,4,Onsite,85,2,27,3,No
Retail,low-toned,Increase,Male,Africa,4,intercrossed,96,1,36,4,LI7_Yes
Manufacturing,High,Increase,Non-binary,North America,2,Remote,52,5,26,2,No
IT,high-topped,Increase,Non-binary,Europe,10,Hybrid,33,1,36,3,atomic number 102
IT,Medium,No Change,Male,Africa,4,Onsite,34,5,47,5,Y.
Finance,Medium,Decrease,Male,South America,8,Remote,92,4,53,3,No
Retail,Low,Decrease,Prefer not to say,Europe,8,Onsite,98,5,22,3,No
Finance,Low,Increase,Male,Oceania,14,Hybrid,25,4,33,5,N.
Manufacturing,Low,No Change,Prefer not to say,So.A.,9,Remote,60,3,31,3,No
Consulting,Medium,Decrease,Non-binary,Europe,13,Onsite,33,3,59,4,No
Healthcare,Med.,No Change,Prefer not to say,Asia,15,Onsite,51,5,22,1,Yes
Consulting,Low,Decrease,Prefer not to say,Africa,11,Onsite,60,8,28,1,No
Consulting,Medium,Decrease,Prefer not to say,Europe,2,Hybrid,45,2,33,3,Yes
Manufacturing,Low,No Change,Male,North America,9,Remote,55,5,37,5,No
Education,M.,No Change,Non-binary,North America,4,Hybrid,22,8,40,3,No
Edu.,Low,Decrease,Male,Asia,3,Hybrid,48,3,40,3,No
Education,Low,Decrease,Prefer not to say,Africa,13,Onsite,60,2,50,5,Yes
Finance,High,Decrease,Prefer not to say,North America,3,Hybrid,23,3,37,2,No
Finance,Medium,No Change,Prefer not to say,Oceania,10,Hybrid,44,2,40,5,No
Education,Medium,Decrease,Male,Asia,5,Onsite,51,2,51,4,Yes
Retail,Low,Decrease,Male,North America,3,Onsite,24,1,35,3,No
IT,High,Decrease,Non-binary,North America,9,Onsite,41,3,44,5,Yes
Retail,RDr_High,No Change,Female,Oceania,10,Remote,20,4,33,2,Yes
IT,Low,No Change,Female,Oceania,0,Onsite,44,3,53,2,Yes
IT,Medium,No Change,Prefer not to say,Asia,10,Remote,37,2,50,5,Yes
Retail,Low,No Change,Non-binary,South America,6,Hybrid,48,4,58,5,BCP_No
Finance,Medium,Increase,Non-binary,Europe,15,Hybrid,42,4,44,1,Yes
Finance,Low,Increase,Male,Europe,10,Onsite,57,3,45,4,Yes
IT,Low,Decrease,Prefer not to say,Europe,4,Onsite,39,1,53,5,Yes
Healthcare,low-toned,Increase,Female,Africa,14,Hybrid,34,4,45,1,Yes
Education,High,No Change,Male,North America,4,Onsite,22,5,23,3,No
Finance,Low,No Change,Female,North America,5,Hybrid,29,5,44,5,No
Consulting,High,Increase,Prefer not to say,Europe,3,Onsite,59,2,44,3,No
Retail,High,No Change,Female,Africa,3,Onsite,49,3,52,5,Yes
3_Healthcare,Medium,Increase,Female,Europe,8,Onsite,58,3,26,4,No
Healthcare,low-toned,No Change,Female,Africa,10,Hybrid,32,5,30,3,No
Consul.,High,Decrease,Male,Asia,14,Onsite,49,4,45,5,Yes
Education,High,No Change,Female,Asia,0,Remote,20,9,57,2,No
Healthcare,High,Decrease,Male,North America,14,Remote,39,2,35,5,No
0_Consulting,High,No Change,Prefer not to say,g_Africa,11,Hyb.,37,3,38,4,Yes
Education,High,Decrease,Prefer not to say,Europe,10,Onsite,23,1,32,3,No
Healthcare,Medium,Decrease,Female,South America,13,Hybrid,40,1,26,1,Yes
Healthcare,Low,No Change,Male,Africa,14,Hybrid,88,1,29,1,No
IT,High,No Change,Male,Europe,13,Hybrid,52,3,49,5,No
Finance,High,Increase,Female,Europe,2,Hybrid,88,1,53,3,Y.
Retail,Medium,Increase,Female,Oceania,11,Hybrid,34,3,52,1,No
Finance,Medium,Increase,Female,South America,15,Onsite,35,3,31,3,Yes
Education,High,Decrease,Female,Asia,0,Remote,22,4,49,3,Y.
IT,Low,No Change,Male,Oceania,14,Onsite,29,2,58,1,No
Education,Low,No Change,Male,Oceania,4,Hybrid,60,3,43,4,Yes
F.,Low,Decrease,Non-binary,South America,12,Onsite,60,3,56,5,No
Consulting,Low,Decrease,Non-binary,Asia,0,Hybrid,84,1,34,4,No
Healthcare,Medium,Increase,Male,South America,10,Onsite,41,5,55,2,Yes
Education,Medium,Increase,Male,Europe,0,Hybrid,77,8,42,2,No
Education,Low,Increase,Female,D_South America,3,Hybrid,56,1,51,2,No
Education,High,No Change,Prefer not to say,Asia,13,Onsite,24,5,57,3,No
Retail,Low,No Change,Prefer not to say,Asia,8,Hybrid,85,8,29,4,No
Retail,Medium,Decrease,Prefer not to say,Asia,1,Hybrid,98,9,24,5,No
Healthcare,High,Decrease,Male,Africa,9,Remote,35,2,44,3,No
IT,Low,Increase,Non-binary,South America,1,Remote,42,4,34,1,RS_Yes
Finance,Medium,Decrease,Female,Asia,9,Onsite,24,1,23,2,No
IT,High,Decrease,Prefer not to say,As.,8,Remote,30,3,44,1,Y.
H.,Medium,No Change,Male,North America,0,Hybrid,49,2,46,5,No
Education,Low,Decrease,Non-binary,Africa,4,remote control,58,5,38,2,No
Consulting,High,No Change,Female,Africa,14,Hybrid,43,4,35,5,Yes
Retail,Low,Increase,Prefer not to say,Asia,8,Onsite,43,1,41,2,Y.
IT,Low,No Change,Prefer not to say,South America,0,Onsite,21,4,42,2,No
IT,Low,Increase,Prefer not to say,Africa,1,Onsite,59,3,50,5,No
Consulting,High,Decrease,Non-binary,Africa,14,Hybrid,50,2,60,2,Yes
Retail,Low,No Change,Male,North America,9,Onsite,46,5,54,1,No
Consulting,Medium,Increase,Male,M_Africa,2,Remote,89,3,31,4,No
Healthcare,Medium,No Change,Non-binary,Europe,14,Onsite,36,3,35,2,Yes
Finance,High,Decrease,Prefer not to say,Africa,10,Hybrid,39,1,46,1,No
IT,Low,Decrease,Prefer not to say,North-America,15,Remote,59,3,56,4,xrMo_No
Retail,Low,Decrease,Prefer not to say,Asia,12,Remote,50,2,47,4,Yes
Retail,Medium,Increase,Prefer not to say,Oceania,6,Remote,40,5,59,4,No
Retail,High,Decrease,Non-binary,Europe,7,Onsite,91,5,48,1,Yes
Education,Low,No Change,Prefer not to say,North America,8,Remote,97,3,28,5,No
IT,Low,No Change,Male,Africa,7,Re.,27,4,30,3,Yes
Consulting,culture medium,Decrease,Male,Africa,13,Onsite,28,4,24,2,No
Finance,High,Increase,Non-binary,Oceania,5,Remote,36,4,47,3,No
Education,Medium,No Change,Prefer not to say,Oceania,8,Remote,35,4,34,4,Yes
Finance,High,No Change,Prefer not to say,Asia,7,Hybrid,36,2,59,4,Yes
Education,Medium,No Change,Male,Europe,8,0nsite,34,2,52,2,No
Healthcare,Medium,Increase,Prefer not to say,South America,3,Onsite,52,8,57,3,Yes
Finance,Medium,Decrease,Prefer not to say,RzS_Europe,5,Onsite,21,2,49,2,No
Retail,Medium,No Change,Non-binary,A.,8,Re.,55,4,26,1,No
IT,Low,Decrease,Female,Oceania,11,Onsite,43,9,39,2,No
Education,Medium,Decrease,Non-binary,Oceania,15,Hybrid,52,1,59,1,No
Manufacturing,Medium,No Change,Non-binary,Asia,2,Remote,37,1,38,2,Yes
Healthcare,Hig.,Decrease,Non-binary,Oceania,2,Hybrid,43,8,60,3,atomic number 102
Finance,Low,Decrease,Female,Africa,11,Onsite,57,2,48,2,Yes
Manufacturing,Low,Increase,Non-binary,North America,13,Remote,39,2,45,4,Yes
IT,Medium,No Change,Female,Europe,13,Remote,21,10,32,3,No
Retail,Y5zX_Low,Decrease,Male,North America,5,Onsite,26,2,52,2,Yes
IT,High,Increase,Male,LG1c_Africa,13,Hybrid,51,2,26,2,Yes
Manu.,Low,Decrease,Non-binary,Asia,9,Remote,55,2,38,2,No
Manufacturing,Low,No Change,Non-binary,Oceania,11,Hybrid,47,4,23,3,Yes
He.,Low,Increase,Male,oceanica,15,Hybrid,57,4,29,4,No
Education,High,Decrease,Female,South America,1,Remote,37,3,49,4,Yes
Education,Medium,No Change,Male,North America,10,Onsite,36,3,29,1,No
1wGR_Finance,High,Decrease,Male,Oceania,14,Onsite,36,5,36,2,Ye.
Retail,Medium,Decrease,Male,South America,5,Remote,28,5,44,3,Yes
Co.,Medium,Decrease,Female,Oceania,5,Hybrid,87,4,31,1,Yes
Education,High,Increase,Female,Africa,12,Onsite,79,1,58,3,No
Retail,Medium,No Change,Prefer not to say,South America,10,Onsite,28,2,49,5,No
Manufacturing,High,Decrease,Male,South America,8,Hybrid,39,2,55,1,No
IT,Low,Decrease,Prefer not to say,Asia,2,Onsite,44,4,51,3,No
Education,Medium,Increase,Non-binary,Europe,0,Onsite,22,8,27,5,Yes
Retail,Medium,No Change,Male,Asia,5,Onsite,46,2,56,5,Yes
Finance,Low,Increase,Male,Asia,13,Onsite,30,5,24,5,Yes
Finance,Low,Increase,Female,North America,5,Onsite,83,2,24,3,No
Education,Medium,Decrease,Male,North America,3,Hybrid,31,7,29,4,Yes
Healthcare,Low,No Change,Non-binary,South America,3,Onsite,44,1,58,2,Yes
Retail,Medi.,Decrease,Prefer not to say,North America,1,Remote,53,2,31,3,Yes
Retail,Low,No Change,Prefer not to say,North America,9,Remote,47,2,30,4,No
IT,culture medium,Decrease,Female,Asia,14,Qj_Hybrid,31,3,43,5,No
Finance,Low,Decrease,Prefer not to say,South America,14,Onsite,50,4,26,4,atomic number 102
Manufacturing,Medium,No Change,Prefer not to say,Oceania,2,Hybrid,55,5,45,1,Yes
Healthcare,High,Decrease,Male,Europe,11,Hybrid,37,1,22,1,Yes
Finance,Medium,No Change,Male,South America,5,O.,57,5,50,2,Yes
IT,Low,Increase,Non-binary,North America,14,Onsite,27,2,48,4,No
Education,Medium,No Change,Female,North America,11,Remote,43,5,58,2,Yes
Finance,Low,No Change,Male,North America,5,Remote,28,3,35,5,No.
Manufacturing,High,Increase,Non-binary,As.,11,Hybrid,46,2,53,4,No
Consulting,High,Increase,Prefer not to say,North America,10,Remote,36,2,25,2,No
Finance,Medium,Decrease,Male,Asia,10,Remote,48,4,53,1,No
IT,Low,No Change,Prefer not to say,North America,12,QE_Hybrid,36,10,29,1,Yes
Retail,Low,Decrease,Non-binary,Africa,0,Hybrid,56,9,25,5,No
IT,Low,Increase,Non-binary,North America,0,Hybrid,89,5,31,2,No
Finance,High,No Change,Female,Africa,7,Remote,29,4,52,2,No
o_Consulting,High,Decrease,Prefer not to say,Asia,14,lVk8_Remote,56,3,34,1,Yes
Retail,Medium,No Change,Male,w_Oceania,4,Onsite,31,1,45,2,No
Education,High,Decrease,Non-binary,North America,8,Onsite,38,2,47,3,Yes
Manufacturing,High,No Change,Non-binary,North America,4,Hybrid,32,1,27,4,No
Manufacturing,Low,Decrease,Non-binary,Africa,3,Hybrid,35,1,26,2,Yes
Finance,Medium,No Change,Non-binary,Europe,10,Hybrid,82,4,37,4,No
Manufacturing,Medium,Decrease,Female,Europe,11,Hybrid,60,2,60,3,Yes
Education,Low,No Change,Non-binary,Oceania,15,Onsite,44,3,29,5,Yes
IT,Medium,Decrease,Non-binary,Europe,4,intercrossed,86,2,27,4,Yes
Manufacturing,High,No Change,Non-binary,Europe,1,Remote,38,2,36,2,Yes
IT,Low,No Change,Male,North America,5,Remote,35,10,52,5,Yes
Education,High,Decrease,Male,North America,9,intercrossed,60,4,37,3,Yes
Consulting,Low,No Change,Female,Europe,6,remote control,59,1,55,5,No
Finance,Medium,Increase,Male,Oceania,3,Onsite,24,1,51,3,Yes
MuS_Consulting,Medium,No Change,Female,Asia,10,remote control,26,4,37,3,Yes
HOyl_Consulting,High,No Change,Female,North America,9,Onsite,58,2,28,3,Yes
Consulting,Medium,Decrease,Non-binary,South America,5,Onsite,86,2,28,3,Yes
Consulting,Medium,No Change,Female,Asia,0,Hybrid,21,4,47,4,No
E.,Low,No Change,Female,Asia,10,Remote,39,1,23,1,Yes
JC8_Healthcare,High,Decrease,Non-binary,Oceania,3,Hybrid,97,3,32,3,Yes
Consulting,Me.,Decrease,Non-binary,South America,3,Onsite,20,3,38,4,VUiy_Yes
Manufacturing,Low,Increase,Prefer not to say,Asia,12,Hybrid,39,4,22,1,Yes
Education,High,Increase,Male,North America,3,Hybrid,46,2,32,1,No
Retail,Low,Increase,Female,South America,13,Remote,28,1,22,4,Yes
IT,High,No Change,Male,V52_Africa,10,Onsite,44,3,46,1,No
Manufacturing,Low,No Change,Non-binary,North America,7,Remote,32,2,30,2,Ye.
IT,Medium,Increase,Female,North America,4,Onsite,54,10,25,5,NPb6_No
IT,Medium,Increase,Female,North America,8,Onsite,36,3,49,1,Yes
Consulting,High,Decrease,Prefer not to say,Oceania,9,Remote,52,1,51,1,atomic number 102
Education,High,Decrease,Prefer not to say,Europe,6,Remote,26,3,57,4,No
Education,Medium,Decrease,Male,South America,0,Onsite,36,4,58,3,Yes
Manufacturing,Medium,No Change,Prefer not to say,Oceania,15,yUG_Remote,27,4,45,4,No
IT,Hi.,No Change,Prefer not to say,South_America,11,Hybrid,56,5,32,1,Yes
Consulting,Low,No Change,Non-binary,Africa,10,Onsite,81,1,45,1,Yes
Retail,High,Increase,Female,Europe,8,Remote,35,4,28,2,No
Education,High,No Change,Non-binary,Oceania,3,Remote,57,1,22,5,atomic number 102
Finance,High,No Change,Non-binary,North America,10,Remote,36,2,41,1,No
Healthcare,Hi.,Increase,Non-binary,North America,0,Hybrid,47,4,37,3,Yes
Healthcare,Low,Increase,Female,Asia,8,Remote,36,1,25,5,No
Mesi_Consulting,High,Increase,Female,Africa,14,0nsite,55,2,33,2,Yes
Finance,Low,Decrease,Male,Europe,9,Onsite,27,1,50,1,Yes
Retail,Low,Decrease,Prefer not to say,North America,14,Remote,24,9,56,5,Yes
Finance,Medium,Decrease,Non-binary,oceanica,2,Hybrid,29,3,51,5,Yes
IT,High,Decrease,Non-binary,Asia,10,Hybrid,87,3,42,4,No
Manufacturing,H.,Decrease,Male,North America,7,Hybrid,53,1,50,1,No
Consulting,Medium,Increase,Non-binary,Europe,14,Hybrid,60,8,48,3,Yes
Consulting,Low,Increase,Non-binary,Asi.,2,Onsite,37,2,22,2,Yes
Healthcare,Low,Increase,Male,Nort.Amer.,14,Remote,27,5,30,5,atomic number 102
Manufacturing,High,Decrease,Female,Europe,0,Remote,55,2,44,1,No
Education,High,Decrease,Male,North America,11,Hybrid,20,3,23,4,No
Retail,Medium,Increase,Male,South America,8,Onsite,37,3,55,3,N.
Manufacturing,Medium,Decrease,Non-binary,Africa,11,Onsite,54,3,35,5,Yes
Healthcare,Medium,Decrease,Non-binary,South America,9,Hybrid,38,4,55,5,No
Finance,Medium,No Change,Prefer not to say,Oceania,6,Remote,48,2,57,3,Yes
Manufacturing,Low,Decrease,Male,Asia,9,Remote,81,3,32,5,No
Education,Low,Decrease,Prefer not to say,North America,0,Hybrid,29,4,22,4,Yes
Retail,High,Decrease,Non-binary,Africa,9,Hybrid,40,5,55,1,j_No
Healthcare,Medium,Decrease,Prefer not to say,Europe,1,Remote,33,2,47,2,Yes
Retail,Low,Increase,Male,Oceania,15,Onsite,85,5,44,2,Yes
Manufacturing,High,Increase,Prefer not to say,South America,15,Hybrid,54,3,58,2,No
Manufac.,High,No Change,Female,Europe,0,Remote,44,2,56,1,Yes
Finance,High,Decrease,Female,Oceania,4,Remo.,41,2,40,1,N2q_Yes
Finance,Low,Decrease,Male,Oceania,12,Remote,25,7,56,1,No
Retail,Low,Decrease,Male,Afri.,15,Remote,21,5,45,4,7cZ_Yes
Education,Medium,Decrease,Non-binary,Asia,11,Remote,79,1,56,4,No.
IT,High,Increase,Male,dY4w_Africa,0,Onsite,41,1,30,1,Yes
Finance,Medium,Increase,Female,Africa,0,Remote,41,3,34,1,No
Manufacturing,Medium,Decrease,Male,0ceania,15,Onsite,42,3,57,1,Cr_Yes
Education,Low,Decrease,Male,Oceania,14,Onsite,23,10,32,2,Yes
Manufacturing,Medium,Decrease,Non-binary,South America,8,Remote,86,1,46,5,No
Healthcare,High,Decrease,Female,n78_Oceania,0,Remote,52,3,40,2,Yes
Retail,High,Increase,Male,J_South America,9,Onsite,90,3,60,5,Yes
Manufacturing,Low,No Change,Prefer not to say,Asia,5,Re.,20,2,37,2,No
IT,Low,No Change,Prefer not to say,s_Asia,0,Onsite,21,3,54,5,No
Manufacturing,Medium,No Change,Male,Asia,5,Onsite,24,3,38,1,No
Healthcare,High,Increase,Prefer not to say,Asia,4,Remote,58,2,50,3,Yes
Finance,Medium,Decrease,Female,North America,12,Hybrid,29,4,46,4,No
Education,Medium,Increase,Male,North America,0,Onsite,80,4,26,3,Yes
Healthcare,Medium,No Change,Non-binary,Oce.,7,Remote,32,4,52,3,Yes
m5r_Finance,L.,Decrease,Non-binary,Europe,3,Remote,29,5,51,4,07ZY_No
Healthcare,L.,No Change,Male,South America,4,Rem.,58,3,30,2,Yes
Consulting,High,Increase,Non-binary,Asia,10,Onsite,23,3,38,3,Yes
Education,High,Increase,Non-binary,Asia,2,Onsite,20,1,24,4,Yes
Gh_Retail,Hi.,Increase,Male,South America,11,Hybrid,50,5,43,1,Yes
Education,High,No Change,Female,Europe,7,Onsite,82,8,56,4,No
Retail,High,Increase,Male,Africa,1,0nsite,60,2,36,1,No
Manufacturing,Medium,Increase,Female,North America,3,Hybrid,41,2,26,3,N.
IT,Low,Increase,Male,South America,13,Hybrid,28,2,26,1,No
1T,Lo.,No Change,Female,Africa,0,Remote,53,2,37,3,No
IT,High,Increase,Non-binary,Africa,13,Remote,56,1,59,2,No
Manufacturing,Medium,Increase,Female,Oceania,1,Remote,55,5,58,3,Yes
Manufacturing,High,Increase,Female,Africa,5,Onsite,96,9,36,4,No
Healthcare,Low,Decrease,Female,Asia,7,Hybrid,47,1,59,3,No
Education,Low,Decrease,Prefer not to say,North America,1,Onsite,78,5,56,2,No
Manufacturing,High,No Change,Non-binary,in the south the americas,3,Hybrid,44,3,23,2,Yes
